,State Name,Year,GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY-AGRICULTURE(Current Prices),GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY-AGRICULTURE(Constant Prices),GROSS STATE DOMESTIC PRODUCT (Current Prices),GROSS STATE DOMESTIC PRODUCT (Constant Prices),GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY-AGRICULTURE(Average Prices),GROSS STATE DOMESTIC PRODUCT (Average Prices),Rainfall(mm),Total Area (1000 ha),Total Production (1000 tons),Total Yield (Kg per ha)
150,Karnataka,2016,8211588,4927233,120760772,94177405,6569410.5,107469088.5,6363.3,13408.98,18145.6,27218.399999999998
151,Kerala,2016,2917374,2319185,63488640,48530154,2618279.5,56009397.0,14245.8,275.6,669.0600000000001,1003.5900000000001
152,Madhya Pradesh,2016,18913732,11775864,64982281,47066916,15344798.0,56024598.5,41257.6,45711.72,92088.84,138133.26
153,Maharashtra,2016,15382358,11431358,219818515,180704575,13406858.0,200261545.0,30375.7,46836.479999999996,59877.82,89816.73
154,Punjab,2016,6633055,5119470,42698810,35272056,5876262.5,38985433.0,4063.6,8584.36,39360.020000000004,59040.030000000006
155,Rajasthan,2016,10156123,7594885,76058727,59674551,8875504.0,67866639.0,17025.0,36923.18,50939.2,76408.79999999999
156,Telangana,2016,4352911,2847772,65832534,50794610,3600341.5,58313572.0,9034.2,9280.039999999999,21360.039999999997,32040.059999999998
157,Uttar Pradesh,2016,19152008,13474756,128870023,101150027,16313382.0,115010025.0,32324.2,44610.54,133762.62,200643.93
158,Uttarakhand,2016,858452,692683,19512484,16770325,775567.5,18141404.5,4572.6,860.2,2619.98,3929.9700000000003
159,West Bengal,2016,12036882,8055480,87252723,65341593,10046181.0,76297158.0,21711.7,9578.08,24887.979999999996,37331.969999999994
160,Andhra Pradesh,2017,513177,411840,613542,473653,462508.5,543597.5,6720.6,9685.34,27935.899999999998,41903.85
161,Assam,2017,447408,663201,316489,991937,555304.5,654213.0,16788.1,5134.62,9570.119999999999,14355.179999999998
162,Bihar,2017,436838,171384,874631,402783,304111.0,638707.0,7198.9,7952.900000000001,20689.3,31033.949999999997
163,Chhattisgarh,2017,940525,994483,228344,13569,967504.0,120956.5,6714.6,10487.32,13709.78,20564.670000000002
164,Gujarat,2017,584816,365086,909477,656973,474951.0,783225.0,15323.1,15851.88,28552.98,42829.47
165,Haryana,2017,922033,206040,883208,203615,564036.5,543411.5,2434.5,6453.160000000002,24436.22,36654.33
166,Himachal Pradesh,2017,965837,714021,855109,940627,839929.0,897868.0,9540.0,1353.2,2686.4999999999995,4029.75
167,Jharkhand,2017,587638,564348,981614,58730,575993.0,520172.0,4402.1,3538.7999999999997,5914.699999999999,8872.05
168,Karnataka,2017,877750,386466,324000,970817,632108.0,647408.5,8491.0,11694.5,22048.32,33072.48
169,Kerala,2017,199378,354343,158826,618976,276860.5,388901.0,20636.8,302.32,828.42,1242.6299999999999
170,Madhya Pradesh,2017,671175,506489,628392,710165,588832.0,669278.5,26483.0,45691.18,89458.44,134187.66
171,Maharashtra,2017,123135,850708,278150,870619,486921.5,574384.5,28630.899999999998,47017.119999999995,58430.020000000004,87645.03
172,Punjab,2017,189096,295174,101361,540561,242135.0,320961.0,5022.5,8646.7,40832.94,61249.41
173,Rajasthan,2017,247157,261760,252923,802002,254458.5,527462.5,14242.7,35956.32,47993.02,71989.53
174,Telangana,2017,745699,139537,5028,740976,442618.0,373002.0,6842.7,9434.54,20469.999999999996,30704.999999999996
175,Uttar Pradesh,2017,579451,956558,992550,639893,768004.5,816221.5,26691.3,43206.159999999996,139450.82,209176.22999999998
176,Uttarakhand,2017,16543,698175,22213,95612,357359.0,58912.5,5573.2,855.02,2714.2,4071.2999999999993
177,West Bengal,2017,120198,470069,469978,498032,295133.5,484005.0,23529.6,9847.579999999998,25715.98,38573.97
